Column1,road_id,road_name,location,road_query,morning_truck,morning_car,morning_scooter,afternoon_truck,afternoon_car,afternoon_scooter,X,Y
164,NI036,忠孝東路~研究院路     ,"['-', '研究院路一段', '忠孝東路七段', '研究院路一段']",研究院路一段 忠孝東路七段,126.64,1458.71,1795.65,139.6,1553.44,1520.96,121.6162165,25.053106
165,NI037,忠孝東路~中坡北路? ? ?,"['忠孝東路', '中坡北路', '忠孝東路', '中坡北路']",忠孝東路 中坡北路,66.03,1406.89,2418.08,71.58,781.32,1492.1,121.5819034,25.0442501
166,NI038,忠孝東路~興中路,"['忠孝東路', '-', '忠孝東路', '興中路']",忠孝東路 興中路,98.84,1037.95,1622.21,57.99,691.19,855.82,121.6079619,25.0521574
167,NI039,新生北路-濱江街,"['濱江街', '新生北路', '-', '新生北路']",濱江街 新生北路,37.47,1609.09,580.44,61.37,1783.64,196.99,121.527976,25.070701
168,NI040,建國北路三段~農安街,"['橋下道路', '建國北路三段', '農安街', '建國北路三段']",橋下道路 建國北路三段,64.46,2276.81,1488.73,44.14,2120.93,1061.93,121.5368345,25.0648778
169,NI041,八德路~建國北路,"['八德路二段', '建國南路一段', '八德路二段', '建國北路一段']",八德路二段 建國南路一段,39.82,1522.14,1608.04,29.32,1392.35,849.33,121.536404,25.0460381
170,NI042,敬業三路~北安路,"['北安路', '敬業三路', '北安路', '北安路821巷']",北安路 敬業三路,125.29,2284.57,3641.14,76.71,1062.47,1346.82,121.5563778,25.0845475
171,NI043,舊宗路~行善路,"['行善路', '舊宗路', '行善路', '舊宗路']",行善路 舊宗路,91.14,1900.83,2538.03,79.07,1569.5,2114.43,121.581958,25.060186
172,NI044,重慶北路~哈密街,"['哈密街', '重慶北路', '哈密街', '重慶北路']",哈密街 重慶北路,306.18,1850.79,1389.03,301.82,2062.13,1156.05,121.5135839,25.0726887
173,NI046,民族西路~玉門街,"['民族西路', '撫順街44巷', '民族西路', '玉門街']",民族西路 撫順街44巷,192.52,1429.64,2859.84,126.39,573.18,754.43,121.5158928,25.0685856
174,NI047,光明路~大業路,"['光明路', '大業路', '中和街', '泉源路']",光明路 大業路,64.06,729.44,1327.5,44.44,560.8,1150.76,121.5037908,25.1371855
175,NI048,中央北路-光明路-磺港路(1),"['磺港路(公館路)', '光明路', '中央北路一段', '光明路']",磺港路(公館路) 光明路,37.04,528.85,1556.11,40.73,320.04,1282.23,121.5019958,25.1335791
176,NI048,中央北路-光明路-磺港路(2),"['光明路', '中央南路一段', '光明路', '中央北路一段']",光明路 中央南路一段,43.33,466.07,1435.6,29.28,265.01,1168.71,121.5015232,25.1331737
177,NI049,士東路-忠誠路,"['士東路', '忠誠路', '士東路', '82巷']",士東路 忠誠路,97.2,1568.4,688.4,88.84,1189.11,580.05,121.5307061,25.1124612
178,NI050,洲子街~港墘路,"['港墘路127巷', '港墘路', '洲子街', '港墘路']",港墘路127巷 港墘路,57.82,1825.77,1016.41,53.02,1602.55,935.43,121.5760694,25.0780711
179,NI051,康寧路~五分街,"['五分街', '康寧路', '-', '康寧路']",五分街 康寧路,111.86,1902.77,1228.37,106.29,1627.86,1062.85,121.615029,25.067281
180,NI052,新明路298巷~新明路,"['新明路', '成美橋', '新明路', '新明路298巷']",新明路 成美橋,70.3,1253,2623.7,61.36,1136.79,2114.85,121.5822236,25.0556652
181,SI001,艋舺大道~西園路,"['艋舺大道', '西園路二段', '艋舺大道', '西園路一段']",艋舺大道 西園路二段,85.17,2423.68,1934.15,78.48,1256.39,1611.13,121.4978664,25.0330882
